parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
D,10.0,0.6,41.42857142857143,0.14285714285714285,0.2324496483183088,0.19530179051616497,0.29471618,0.15255688,0,0
Dstar,10.0,0.6,41.42857142857143,0.14285714285714285,152.1280597182394,39.97284609969174,36.185093,7.0235076,1,0
f,10.0,0.6,41.42857142857143,0.14285714285714285,0.10586147418207593,0.0776993419126868,0.11271557,0.026799755,0,0
D,10.0,0.6,41.42857142857143,0.20428571428571426,0.2503945942387528,0.21330719172670792,0.3748369,0.172005,0,0
Dstar,10.0,0.6,41.42857142857143,0.20428571428571426,106.38325854422335,38.604593404776466,34.300888,6.251618,1,1
f,10.0,0.6,41.42857142857143,0.20428571428571426,0.10586147418207595,0.0799063687107016,0.1239303,0.02694137,0,0
D,10.0,0.6,41.42857142857143,0.26571428571428574,0.2713420019279871,0.23477100107803844,0.42376894,0.22479522,0,0
Dstar,10.0,0.6,41.42857142857143,0.26571428571428574,81.78927941840826,36.95783174742443,36.922344,8.007515,1,0
f,10.0,0.6,41.42857142857143,0.26571428571428574,0.10586147418207595,0.08238693818918932,0.12797476,0.027129514,0,0
D,10.0,0.6,41.42857142857143,0.3271428571428572,0.29611420167937436,0.26027114390786327,0.5154302,0.3089643,0,0
Dstar,10.0,0.6,41.42857142857143,0.3271428571428572,66.4314671258687,35.153006055936416,35.34422,8.516148,1,0
f,10.0,0.6,41.42857142857143,0.3271428571428572,0.10586147418207595,0.08490391366493633,0.13323419,0.035222545,0,0
D,10.0,0.6,41.42857142857143,0.38857142857142857,0.325863992969592,0.2907367318515252,0.5860283,0.40223834,0,0
Dstar,10.0,0.6,41.42857142857143,0.38857142857142857,55.92943371994096,33.290408424442155,38.684074,13.421295,1,0
f,10.0,0.6,41.42857142857143,0.38857142857142857,0.10586147418207598,0.08729902402058042,0.13187143,0.056714047,0,0
D,10.0,0.6,41.42857142857143,0.45,0.36225919218437735,0.32764371223631567,0.6405671,0.4605698,0,0
Dstar,10.0,0.6,41.42857142857143,0.45,48.2946221327744,31.444239049769507,40.74218,15.604131,1,0
f,10.0,0.6,41.42857142857143,0.45,0.10586147418207592,0.08948617020049413,0.12651303,0.067373015,0,0
D,10.0,0.6,57.142857142857146,0.02,0.19350707336251213,0.1651528121456347,0.17313041,0.09690492,1,0
Dstar,10.0,0.6,57.142857142857146,0.02,2325.1719073112026,57.12560873339284,36.05682,4.8759665,1,1
f,10.0,0.6,57.142857142857146,0.02,0.09737230119690492,0.07260392890389225,0.0802496,0.030349987,1,0
D,10.0,0.6,57.142857142857146,0.08142857142857143,0.20644767080355103,0.1765029349523601,0.22902709,0.1057955,0,0
Dstar,10.0,0.6,57.142857142857146,0.08142857142857143,571.0948544273127,56.85893895352762,38.318935,6.0109215,1,1
f,10.0,0.6,57.142857142857146,0.08142857142857143,0.0973723011969049,0.07287348439920936,0.09893987,0.023039201,0,0
D,10.0,0.6,57.142857142857146,0.14285714285714285,0.22124308721113878,0.18985357660196592,0.30688453,0.1592473,0,0
Dstar,10.0,0.6,57.142857142857146,0.14285714285714285,325.5240670235683,56.28227623871513,37.038013,7.1518145,1,1
f,10.0,0.6,57.142857142857146,0.14285714285714285,0.09737230119690489,0.0734487341136503,0.1160304,0.03359737,0,0
D,10.0,0.6,57.142857142857146,0.20428571428571426,0.238322894661909,0.20561598847334867,0.37719852,0.19968812,0,0
Dstar,10.0,0.6,57.142857142857146,0.20428571428571426,227.639207708789,55.423337518326164,36.855,7.908388,1,1
f,10.0,0.6,57.142857142857146,0.20428571428571426,0.09737230119690489,0.07428660435584265,0.12549843,0.030280605,0,0
D,10.0,0.6,57.142857142857146,0.26571428571428574,0.2582604130869326,0.22431955162168712,0.44541314,0.354468,0,0
Dstar,10.0,0.6,57.142857142857146,0.26571428571428574,175.012939259983,54.320698734944095,36.43799,10.421888,1,1
f,10.0,0.6,57.142857142857146,0.26571428571428574,0.09737230119690493,0.07533002232589407,0.12679444,0.030825984,0,0
D,10.0,0.6,57.142857142857146,0.3271428571428572,0.2818383276575018,0.2466776860524391,0.5386389,0.2967661,0,0
Dstar,10.0,0.6,57.142857142857146,0.3271428571428572,142.1502476085451,53.019366303692905,38.518948,8.56182,1,1
f,10.0,0.6,57.142857142857146,0.3271428571428572,0.09737230119690492,0.0765167973142583,0.13426138,0.040906806,0,0
D,10.0,0.6,57.142857142857146,0.38857142857142857,0.31015386057636296,0.27369236163422694,0.62879467,0.38719404,0,0
Dstar,10.0,0.6,57.142857142857146,0.38857142857142857,119.67796581748834,51.56635332976749,39.91359,10.70123,1,1
f,10.0,0.6,57.142857142857146,0.38857142857142857,0.09737230119690492,0.07778733717884069,0.13678326,0.056193423,0,0
D,10.0,0.6,57.142857142857146,0.45,0.34479442162774887,0.3068250734280035,0.6516646,0.5029488,0,0
Dstar,10.0,0.6,57.142857142857146,0.45,103.34097365827569,50.00696408978005,40.29862,15.269738,1,1
f,10.0,0.6,57.142857142857146,0.45,0.09737230119690492,0.07908989862473105,0.12639308,0.06568767,0,0
D,10.0,0.6,72.85714285714286,0.02,0.18941047467723302,0.16390046338725858,0.17050064,0.09922255,0,0
Dstar,10.0,0.6,72.85714285714286,0.02,5011.745091495662,72.84944553546578,34.762638,6.393607,1,1
f,10.0,0.6,72.85714285714286,0.02,0.09380177296853143,0.07152400511583275,0.0820988,0.03450164,1,0
D,10.0,0.6,72.85714285714286,0.08142857142857143,0.2020771160631132,0.17495734634458504,0.22694486,0.12396819,0,0
Dstar,10.0,0.6,72.85714285714286,0.08142857142857143,1230.9549347533202,72.72986206165734,32.210278,7.391289,1,1
f,10.0,0.6,72.85714285714286,0.08142857142857143,0.09380177296853141,0.07160841485313096,0.10008116,0.02970137,0,0
D,10.0,0.6,72.85714285714286,0.14285714285714285,0.21655930938096965,0.18772134084238168,0.29754016,0.13082801,0,0
Dstar,10.0,0.6,72.85714285714286,0.14285714285714285,701.644312809393,72.46750816281845,37.064667,7.8441057,1,1
