parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
D,10.0,2.142857142857143,104.28571428571429,0.02,0.4791395436670515,0.4138843976894446,0.53331894,0.2999231,0,0
Dstar,10.0,2.142857142857143,104.28571428571429,0.02,26896.116409087783,104.28493038616217,36.66603,5.940093,1,1
f,10.0,2.142857142857143,104.28571428571429,0.02,0.13596099320911964,0.09379673201577197,0.12816268,0.02919086,0,0
D,10.0,2.142857142857143,104.28571428571429,0.08142857142857143,0.5111815349231684,0.44158009802688086,0.5427062,0.30190542,0,0
Dstar,10.0,2.142857142857143,104.28571428571429,0.08142857142857143,6606.063679425069,104.27272223253001,36.171394,5.9935126,1,1
f,10.0,2.142857142857143,104.28571428571429,0.08142857142857143,0.13596099320911967,0.09380882133742507,0.12234235,0.02709005,1,0
D,10.0,2.142857142857143,104.28571428571429,0.14285714285714285,0.5478162115926622,0.4732683061975082,0.48925775,0.2592235,1,0
Dstar,10.0,2.142857142857143,104.28571428571429,0.14285714285714285,3765.456297272291,104.24574195327301,36.29534,8.974817,1,1
f,10.0,2.142857142857143,104.28571428571429,0.14285714285714285,0.1359609932091197,0.09383552845219917,0.11439439,0.04544761,1,0
D,10.0,2.142857142857143,104.28571428571429,0.20428571428571426,0.5901072297227958,0.509873595764984,0.46829668,0.20118001,1,0
Dstar,10.0,2.142857142857143,104.28571428571429,0.20428571428571426,2633.1862218687347,104.20402392982085,38.488026,6.6882915,1,1
f,10.0,2.142857142857143,104.28571428571429,0.20428571428571426,0.13596099320911967,0.09387679554319407,0.10845928,0.039424445,1,0
D,10.0,2.142857142857143,104.28571428571429,0.26571428571428574,0.639474176956415,0.5526298821059342,0.4148205,0.1439215,1,1
Dstar,10.0,2.142857142857143,104.28571428571429,0.26571428571428574,2024.43886950123,104.14762123082936,37.038273,7.9714336,1,1
f,10.0,2.142857142857143,104.28571428571429,0.26571428571428574,0.13596099320911958,0.09393253351554914,0.101863295,0.044449568,1,0
D,10.0,2.142857142857143,104.28571428571429,0.3271428571428572,0.6978550466148566,0.6032216300901532,0.40865487,0.17291956,1,1
Dstar,10.0,2.142857142857143,104.28571428571429,0.3271428571428572,1644.3040599442318,104.07660542505698,37.33369,9.8308935,1,1
f,10.0,2.142857142857143,104.28571428571429,0.3271428571428572,0.1359609932091197,0.09400262249794689,0.09699484,0.047842167,1,0
D,10.0,2.142857142857143,104.28571428571429,0.38857142857142857,0.7679666517654143,0.6640101825392166,0.3924547,0.21979955,1,1
Dstar,10.0,2.142857142857143,104.28571428571429,0.38857142857142857,1384.358932820695,103.99106632995917,39.29079,10.884183,1,1
f,10.0,2.142857142857143,104.28571428571429,0.38857142857142857,0.13596099320911964,0.09408691251329412,0.088390306,0.04667497,1,0
D,10.0,2.142857142857143,104.28571428571429,0.45,0.8537395505340185,0.7384117584259159,0.40427494,0.18215121,1,1
Dstar,10.0,2.142857142857143,104.28571428571429,0.45,1195.3829515150126,103.89111169772511,40.57952,10.521134,1,1
f,10.0,2.142857142857143,104.28571428571429,0.45,0.13596099320911958,0.09418522431127885,0.0697606,0.039238602,1,1
D,10.0,2.142857142857143,120.0,0.02,0.4781717074368976,0.41356787624736185,0.5248316,0.31024098,0,0
Dstar,10.0,2.142857142857143,120.0,0.02,58826.229361720834,119.9997503276993,36.447433,6.3079495,1,1
f,10.0,2.142857142857143,120.0,0.02,0.1352892997481424,0.09360998123798751,0.13240552,0.02247147,0,0
D,10.0,2.142857142857143,120.0,0.08142857142857143,0.5101489755858661,0.4412296420370225,0.511938,0.30298927,0,0
Dstar,10.0,2.142857142857143,120.0,0.08142857142857143,14448.547562527927,119.99586150064737,36.2204,8.384944,1,1
f,10.0,2.142857142857143,120.0,0.08142857142857143,0.13528929974814247,0.09361328391777064,0.12243326,0.043182787,0,0
D,10.0,2.142857142857143,120.0,0.14285714285714285,0.5467096521695198,0.47286250995090906,0.47407803,0.27958384,1,0
Dstar,10.0,2.142857142857143,120.0,0.14285714285714285,8235.67211064092,119.9872636055394,35.413395,6.3000536,1,1
f,10.0,2.142857142857143,120.0,0.14285714285714285,0.13528929974814244,0.09362058509327777,0.11504623,0.029601965,1,0
D,10.0,2.142857142857143,120.0,0.20428571428571426,0.5889152447068435,0.5093861724117491,0.44875565,0.23627372,1,1
Dstar,10.0,2.142857142857143,120.0,0.20428571428571426,5759.211266182461,119.97395967862585,36.639446,7.8666954,1,1
f,10.0,2.142857142857143,120.0,0.20428571428571426,0.13528929974814247,0.09363188039212615,0.105446935,0.036892843,1,0
D,10.0,2.142857142857143,120.0,0.26571428571428574,0.6381824733496338,0.5520280751260642,0.4127092,0.14685181,1,1
Dstar,10.0,2.142857142857143,120.0,0.26571428571428574,4427.7807046456555,119.95595441575341,36.327023,6.156024,1,1
f,10.0,2.142857142857143,120.0,0.26571428571428574,0.13528929974814244,0.09364716305508103,0.09733,0.038723014,1,0
D,10.0,2.142857142857143,120.0,0.3271428571428572,0.6964454167764581,0.6024638989587837,0.39348552,0.14266177,1,1
Dstar,10.0,2.142857142857143,120.0,0.3271428571428572,3596.3633670921026,119.93325416776365,37.023037,8.606103,1,1
f,10.0,2.142857142857143,120.0,0.3271428571428572,0.13528929974814238,0.09366642394661975,0.098201506,0.042126544,1,0
D,10.0,2.142857142857143,120.0,0.38857142857142857,0.7664154002376443,0.6630427248127154,0.4135585,0.2602834,1,1
Dstar,10.0,2.142857142857143,120.0,0.38857142857142857,3027.8206289121017,119.90586693427637,40.25544,11.029005,1,1
f,10.0,2.142857142857143,120.0,0.38857142857142857,0.1352892997481424,0.0936896515691869,0.08743994,0.050162308,1,0
D,10.0,2.142857142857143,120.0,0.45,0.8520150423421082,0.7371630882256961,0.40953293,0.2288539,1,1
Dstar,10.0,2.142857142857143,120.0,0.45,2614.499082743148,119.87380235586971,41.149452,10.318667,1,1
f,10.0,2.142857142857143,120.0,0.45,0.13528929974814238,0.09371683208109585,0.070666775,0.04318753,1,1
D,10.0,2.4,10.0,0.02,1.466639326201645,0.7110726160085107,0.57101166,0.3204623,1,1
Dstar,10.0,2.4,10.0,0.02,368.21752234435814,9.996314291811668,35.837627,6.4864573,1,0
f,10.0,2.4,10.0,0.02,0.8471306697768507,0.24840774090682685,0.1336147,0.02995052,1,1
D,10.0,2.4,10.0,0.08142857142857143,1.5647194055588205,0.7725075158655709,0.5360141,0.3042655,1,1
Dstar,10.0,2.4,10.0,0.08142857142857143,90.43939145299966,9.939424833297258,38.59377,7.169571,1,0
f,10.0,2.4,10.0,0.08142857142857143,0.8471306697768448,0.2629656730698399,0.13131277,0.03747896,1,1
D,10.0,2.4,10.0,0.14285714285714285,1.676857629623874,0.8587385079557249,0.5467785,0.23894276,1,1
Dstar,10.0,2.4,10.0,0.14285714285714285,51.55045312820993,9.816998520865397,36.768723,6.9209743,1,0
f,10.0,2.4,10.0,0.14285714285714285,0.8471306697768469,0.29159478568810715,0.12997118,0.03360594,1,1
D,10.0,2.4,10.0,0.20428571428571426,1.8063098344242774,0.9713741639132498,0.501081,0.20381095,1,1
Dstar,10.0,2.4,10.0,0.20428571428571426,36.04926792182506,9.636121873416158,37.39381,6.8661623,0,0
f,10.0,2.4,10.0,0.20428571428571426,0.8471306697768453,0.32882211243881193,0.123892315,0.03936876,1,1
D,10.0,2.4,10.0,0.26571428571428574,1.957421357537584,1.1119028002164117,0.4788277,0.20613839,1,1
Dstar,10.0,2.4,10.0,0.26571428571428574,27.715297380757864,9.406438760614893,36.90474,8.425196,0,0
f,10.0,2.4,10.0,0.26571428571428574,0.8471306697768416,0.36991032083981623,0.12145959,0.047250014,1,1
D,10.0,2.4,10.0,0.3271428571428572,2.136124368947626,1.2828517568865065,0.46024165,0.24265866,1,1
Dstar,10.0,2.4,10.0,0.3271428571428572,22.51111490314862,9.138859634316324,36.52099,10.155613,0,0
f,10.0,2.4,10.0,0.3271428571428572,0.8471306697768539,0.4115905670721589,0.11877545,0.05309324,1,1
D,10.0,2.4,10.0,0.38857142857142857,2.3507349947998253,1.4889703010014568,0.44813755,0.1935317,1,1
Dstar,10.0,2.4,10.0,0.38857142857142857,18.952372473606616,8.844356231531199,35.29736,9.155353,0,0
f,10.0,2.4,10.0,0.38857142857142857,0.847130669776848,0.4518527694237781,0.10432035,0.048974242,1,1
D,10.0,2.4,10.0,0.45,2.613284617595651,1.7386018803925427,0.44678274,0.15959294,1,1
Dstar,10.0,2.4,10.0,0.45,16.365223215304752,8.533043308472136,38.23739,9.995447,0,0
f,10.0,2.4,10.0,0.45,0.847130669776848,0.4895725999830857,0.100628,0.047222085,1,1
D,10.0,2.4,25.71428571428572,0.02,0.7117150023418598,0.5263549016254406,0.5564761,0.33261767,1,0
Dstar,10.0,2.4,25.71428571428572,0.02,652.2910571804134,25.69432827930219,35.34807,6.708468,1,0
f,10.0,2.4,25.71428571428572,0.02,0.24987171813495337,0.12656235957056378,0.1316345,0.036814544,1,0
D,10.0,2.4,25.71428571428572,0.08142857142857143,0.7593102513320619,0.5670163481453484,0.5410262,0.28173593,1,0
Dstar,10.0,2.4,25.71428571428572,0.08142857142857143,160.21183860571554,25.389339987442348,35.955948,7.5687523,1,0
f,10.0,2.4,25.71428571428572,0.08142857142857143,0.2498717181349533,0.13081834075357335,0.12930349,0.03615536,1,0
D,10.0,2.4,25.71428571428572,0.14285714285714285,0.8137274860108595,0.6194905871978387,0.50993043,0.27658716,1,1
Dstar,10.0,2.4,25.71428571428572,0.14285714285714285,91.32074800525781,24.751737886772528,35.993843,6.5838084,1,0
f,10.0,2.4,25.71428571428572,0.14285714285714285,0.24987171813495324,0.13914459552576716,0.12303138,0.040962912,1,1
D,10.0,2.4,25.71428571428572,0.20428571428571426,0.8765466635664556,0.6843518475575122,0.45426634,0.16776319,1,1
Dstar,10.0,2.4,25.71428571428572,0.20428571428571426,63.86066294073979,23.853153570014147,37.04004,9.560051,1,0
f,10.0,2.4,25.71428571428572,0.20428571428571426,0.24987171813495335,0.1497731694928103,0.11321673,0.044583723,1,1
D,10.0,2.4,25.71428571428572,0.26571428571428574,0.9498764428142334,0.7622237608908634,0.42922354,0.18284987,1,1
Dstar,10.0,2.4,25.71428571428572,0.26571428571428574,49.097176346912825,22.779151209388285,37.396545,7.8391533,1,0
f,10.0,2.4,25.71428571428572,0.26571428571428574,0.24987171813495335,0.1611002744843464,0.1093201,0.03823336,1,1
D,10.0,2.4,25.71428571428572,0.3271428571428572,1.0365955235807134,0.8544867206553515,0.3910022,0.17643662,1,1
Dstar,10.0,2.4,25.71428571428572,0.3271428571428572,39.87805589749251,21.610958361187983,37.357574,9.196342,0,0
f,10.0,2.4,25.71428571428572,0.3271428571428572,0.24987171813495335,0.17204433299071498,0.099619485,0.04334779,1,1
D,10.0,2.4,25.71428571428572,0.38857142857142857,1.1407394663703643,0.9639133246424377,0.3932458,0.13668224,1,1
Dstar,10.0,2.4,25.71428571428572,0.38857142857142857,33.57380441369776,20.414543619579888,38.986298,9.128366,0,0
f,10.0,2.4,25.71428571428572,0.38857142857142857,0.2498717181349534,0.18202851467050965,0.08985197,0.044728603,1,1
D,10.0,2.4,25.71428571428572,0.45,1.2681467314454957,1.0953453855444093,0.35893765,0.266871,1,1
Dstar,10.0,2.4,25.71428571428572,0.45,28.990713652462812,19.237286373624386,39.572365,10.662622,0,0
f,10.0,2.4,25.71428571428572,0.45,0.24987171813495335,0.19083089112670734,0.07783632,0.035403658,1,1
D,10.0,2.4,41.42857142857143,0.02,0.6120811090801308,0.4949881921725354,0.5539747,0.23732908,0,0
Dstar,10.0,2.4,41.42857142857143,0.02,1325.9438248534782,41.408364430808746,35.721382,7.148938,1,1
f,10.0,2.4,41.42857142857143,0.02,0.18232740144269438,0.10836600699040766,0.13223338,0.029149676,1,0
D,10.0,2.4,41.42857142857143,0.08142857142857143,0.6530134383032186,0.5301763880074011,0.52381444,0.26699147,1,0
Dstar,10.0,2.4,41.42857142857143,0.08142857142857143,325.67041312190685,41.09737853124873,36.786835,6.2635508,1,1
f,10.0,2.4,41.42857142857143,0.08142857142857143,0.18232740144269433,0.10984042777737903,0.123213544,0.03432112,1,0
D,10.0,2.4,41.42857142857143,0.14285714285714285,0.6998127347149493,0.5728578866105302,0.4748208,0.25620872,1,1
Dstar,10.0,2.4,41.42857142857143,0.14285714285714285,185.63213547948692,40.433855024127396,37.945496,7.5166345,1,0
f,10.0,2.4,41.42857142857143,0.14285714285714285,0.18232740144269435,0.1128860262427937,0.11587666,0.036484916,1,0
D,10.0,2.4,41.42857142857143,0.20428571428571426,0.7538377752764266,0.6242159996204325,0.43957722,0.15468825,1,1
Dstar,10.0,2.4,41.42857142857143,0.20428571428571426,129.81268215348734,39.46739894328303,37.421276,8.356737,1,0
f,10.0,2.4,41.42857142857143,0.20428571428571426,0.18232740144269433,0.1170962527949354,0.10568494,0.048428718,1,0
D,10.0,2.4,41.42857142857143,0.26571428571428574,0.816902024959085,0.6856924236286422,0.40087315,0.17807397,1,1
Dstar,10.0,2.4,41.42857142857143,0.26571428571428574,99.80222337606823,38.26291576092847,36.988495,8.226269,1,0
f,10.0,2.4,41.42857142857143,0.26571428571428574,0.18232740144269435,0.12200613833981716,0.099660926,0.043987583,1,1
D,10.0,2.4,41.42857142857143,0.3271428571428572,0.8914811907196812,0.7592688092375638,0.38016656,0.18125387,1,1
Dstar,10.0,2.4,41.42857142857143,0.3271428571428572,81.06206789497246,36.89001814157515,37.309944,6.6340694,1,0
f,10.0,2.4,41.42857142857143,0.3271428571428572,0.1823274014426944,0.12719764694215976,0.093085654,0.040473502,1,1
D,10.0,2.4,41.42857142857143,0.38857142857142857,0.9810458897873118,0.847860942174565,0.36685574,0.16871846,1,1
Dstar,10.0,2.4,41.42857142857143,0.38857142857142857,68.24710863216428,35.41427675827392,41.315067,10.733699,1,0
f,10.0,2.4,41.42857142857143,0.38857142857142857,0.18232740144269424,0.13235251051425415,0.08330079,0.04318626,1,1
D,10.0,2.4,41.42857142857143,0.45,1.090617248906415,0.9558984511205202,0.36168364,0.17879495,1,1
Dstar,10.0,2.4,41.42857142857143,0.45,58.93083666015459,33.891720316925166,40.080475,9.063785,1,0
f,10.0,2.4,41.42857142857143,0.45,0.1823274014426944,0.13726009899146288,0.069749236,0.031536516,1,1
D,10.0,2.4,57.142857142857146,0.02,0.577853625559897,0.4841929090930345,0.5578204,0.2802133,0,0
Dstar,10.0,2.4,57.142857142857146,0.02,2748.421878774013,57.1305105168809,38.391922,6.630148,1,1
f,10.0,2.4,57.142857142857146,0.02,0.15995030117138734,0.10233405285529619,0.13047531,0.027751526,1,0
D,10.0,2.4,57.142857142857146,0.08142857142857143,0.6164970250918963,0.5173049639625497,0.5329642,0.2859646,1,0
Dstar,10.0,2.4,57.142857142857146,0.08142857142857143,675.0509877690553,56.93922029823823,38.986183,7.2656937,1,1
f,10.0,2.4,57.142857142857146,0.08142857142857143,0.15995030117138725,0.102826489645567,0.12460707,0.031038063,1,0
D,10.0,2.4,57.142857142857146,0.14285714285714285,0.6606793118901488,0.5560729373895016,0.47864106,0.23414432,1,1
Dstar,10.0,2.4,57.142857142857146,0.14285714285714285,384.77906302836163,56.52295814933993,38.17912,6.343095,1,1
f,10.0,2.4,57.142857142857146,0.14285714285714285,0.15995030117138728,0.10388436841226958,0.11481966,0.034421302,1,0
D,10.0,2.4,57.142857142857146,0.20428571428571426,0.7116832803125483,0.6017136240283223,0.41080555,0.1856788,1,1
Dstar,10.0,2.4,57.142857142857146,0.20428571428571426,269.0762678520012,55.89630518716535,37.146,7.0411944,1,1
f,10.0,2.4,57.142857142857146,0.20428571428571426,0.1599503011713873,0.10544257077767664,0.10340493,0.039652366,1,0
D,10.0,2.4,57.142857142857146,0.26571428571428574,0.7712209866421974,0.6558109711122025,0.37708712,0.19514787,1,1
Dstar,10.0,2.4,57.142857142857146,0.26571428571428574,206.87046399374293,55.08016043069699,36.563713,9.055381,1,1
f,10.0,2.4,57.142857142857146,0.26571428571428574,0.15995030117138734,0.10741270050734648,0.09853188,0.049842812,1,0
D,10.0,2.4,57.142857142857146,0.3271428571428572,0.8416296966753494,0.7205009945452431,0.38408148,0.1517784,1,1
Dstar,10.0,2.4,57.142857142857146,0.3271428571428572,168.02579171544178,54.0999171339023,37.05636,10.090669,1,1
f,10.0,2.4,57.142857142857146,0.3271428571428572,0.15995030117138734,0.10969505496402596,0.09591536,0.048019346,1,1
D,10.0,2.4,57.142857142857146,0.38857142857142857,0.9261859512478725,0.7987685392060285,0.37487987,0.15761736,1,1
Dstar,10.0,2.4,57.142857142857146,0.38857142857142857,141.46289081925056,52.9834773547583,39.233555,9.432594,1,1
f,10.0,2.4,57.142857142857146,0.38857142857142857,0.1599503011713873,0.11218971340339053,0.08123028,0.04659396,1,1
D,10.0,2.4,57.142857142857146,0.45,1.0296300964521798,0.8949399299484508,0.37146685,0.17980608,1,1
Dstar,10.0,2.4,57.142857142857146,0.45,122.15208350106712,51.759373571957795,39.794643,10.562695,1,1
f,10.0,2.4,57.142857142857146,0.45,0.15995030117138723,0.11480493302657539,0.06627697,0.036475576,1,1
D,10.0,2.4,72.85714285714286,0.02,0.5641814818476995,0.47977770363428546,0.56427824,0.2638517,0,0
Dstar,10.0,2.4,72.85714285714286,0.02,5845.30887644123,72.85148410224548,36.92027,6.9572954,1,1
f,10.0,2.4,72.85714285714286,0.02,0.15104988488899684,0.09991264141798113,0.12941095,0.03102393,1,0
D,10.0,2.4,72.85714285714286,0.08142857142857143,0.6019105700583542,0.5120987841874007,0.53359324,0.23811054,1,0
Dstar,10.0,2.4,72.85714285714286,0.08142857142857143,1435.6898994767935,72.7635102122132,37.268654,5.7886577,1,1
f,10.0,2.4,72.85714285714286,0.08142857142857143,0.15104988488899687,0.10006753817454984,0.12492576,0.026148463,1,0
D,10.0,2.4,72.85714285714286,0.14285714285714285,0.6450474942458694,0.5493547059078047,0.49473944,0.23049434,1,0
Dstar,10.0,2.4,72.85714285714286,0.14285714285714285,818.3432427017723,72.5701024972566,36.893402,8.16596,1,1
f,10.0,2.4,72.85714285714286,0.14285714285714285,0.15104988488899682,0.10040657817497585,0.11361817,0.04158295,1,0
D,10.0,2.4,72.85714285714286,0.20428571428571426,0.694844697571852,0.5926770798667725,0.44411048,0.19690083,1,1
Dstar,10.0,2.4,72.85714285714286,0.20428571428571426,572.2680018893511,72.27376917872849,37.195328,7.571844,1,1
f,10.0,2.4,72.85714285714286,0.20428571428571426,0.15104988488899676,0.10092209679800625,0.10494234,0.04114577,1,0
D,10.0,2.4,72.85714285714286,0.26571428571428574,0.7529737286916763,0.64357017997254,0.38206875,0.19801356,1,1
Dstar,10.0,2.4,72.85714285714286,0.26571428571428574,439.9694853235334,71.87828479776756,37.57049,8.05691,1,1
f,10.0,2.4,72.85714285714286,0.26571428571428574,0.1510498848889968,0.10160277397966826,0.0985017,0.043202907,1,0
D,10.0,2.4,72.85714285714286,0.3271428571428572,0.8217165531794517,0.7040819560744289,0.37544236,0.17231101,1,1
Dstar,10.0,2.4,72.85714285714286,0.3271428571428572,357.35512781736765,71.38855953922355,39.71163,9.870181,1,1
f,10.0,2.4,72.85714285714286,0.3271428571428572,0.15104988488899682,0.10243426692185117,0.09468351,0.04212231,1,0
D,10.0,2.4,72.85714285714286,0.38857142857142857,0.9042721881951442,0.777078356835047,0.37387517,0.18620048,1,1
Dstar,10.0,2.4,72.85714285714286,0.38857142857142857,300.86148628741626,70.8104757479508,40.545563,8.111786,1,1
f,10.0,2.4,72.85714285714286,0.38857142857142857,0.15104988488899684,0.10339996025643759,0.078184426,0.03920014,1,1
D,10.0,2.4,72.85714285714286,0.45,1.0052688222013553,0.8667016272249689,0.3622268,0.15921338,1,1
Dstar,10.0,2.4,72.85714285714286,0.45,259.7915056196103,70.15070189231452,40.23025,7.3320932,1,1
f,10.0,2.4,72.85714285714286,0.45,0.1510498848889969,0.10448176205602186,0.062779956,0.027048588,1,1
D,10.0,2.4,88.57142857142857,0.02,0.5583511613697747,0.47785617936842584,0.5598735,0.26069754,0,0
Dstar,10.0,2.4,88.57142857142857,0.02,12631.525906132045,88.56925124620307,36.241302,5.979523,1,1
f,10.0,2.4,88.57142857142857,0.02,0.14725025602656516,0.0988690105029221,0.13033615,0.023435438,1,0
D,10.0,2.4,88.57142857142857,0.08142857142857143,0.5956903525655763,0.5098835934034512,0.51419276,0.22660783,1,0
Dstar,10.0,2.4,88.57142857142857,0.08142857142857143,3102.480047120151,88.535356790228,35.94022,7.551879,1,1
f,10.0,2.4,88.57142857142857,0.08142857142857143,0.1472502560265652,0.09891508110438324,0.12433128,0.037210613,1,0
D,10.0,2.4,88.57142857142857,0.14285714285714285,0.6383814944994424,0.5465936348826285,0.45727855,0.21557592,1,1
Dstar,10.0,2.4,88.57142857142857,0.14285714285714285,1768.4136268584864,88.46054502593056,35.920193,6.571287,1,1
f,10.0,2.4,88.57142857142857,0.14285714285714285,0.14725025602656516,0.09901662982103847,0.11346713,0.035683084,1,0
D,10.0,2.4,88.57142857142857,0.20428571428571426,0.6876640874320745,0.5890696958952942,0.4194451,0.24078445,1,1
Dstar,10.0,2.4,88.57142857142857,0.20428571428571426,1236.6528859150258,88.34512657330069,36.522614,7.8143325,1,1
f,10.0,2.4,88.57142857142857,0.20428571428571426,0.14725025602656522,0.09917292564942302,0.10338327,0.041240774,1,0
D,10.0,2.4,88.57142857142857,0.26571428571428574,0.7451924060304775,0.638757076364592,0.3921678,0.17494743,1,1
Dstar,10.0,2.4,88.57142857142857,0.26571428571428574,950.7600144400465,88.18957791275831,37.43435,8.43361,1,1
f,10.0,2.4,88.57142857142857,0.26571428571428574,0.14725025602656516,0.09938285373644967,0.09706712,0.041376848,1,0
D,10.0,2.4,88.57142857142857,0.3271428571428572,0.8132248337572515,0.6976282157514653,0.38053003,0.14408854,1,1
Dstar,10.0,2.4,88.57142857142857,0.3271428571428572,772.233024829033,87.99453595884896,40.365067,10.16466,1,1
f,10.0,2.4,88.57142857142857,0.3271428571428572,0.1472502560265651,0.09964493608724098,0.09295014,0.04517812,1,0
D,10.0,2.4,88.57142857142857,0.38857142857142857,0.894927328737536,0.7684475371996036,0.38652685,0.1592643,1,1
Dstar,10.0,2.4,88.57142857142857,0.38857142857142857,650.1520686979728,87.7607908958266,39.73362,9.800991,1,1
f,10.0,2.4,88.57142857142857,0.38857142857142857,0.14725025602656514,0.09995735845851249,0.07841804,0.038124014,1,1
D,10.0,2.4,88.57142857142857,0.45,0.9948802511679624,0.8552137816406491,0.36974472,0.21917653,1,1
Dstar,10.0,2.4,88.57142857142857,0.45,561.4011513836464,87.48927743117363,39.688972,9.033196,1,1
f,10.0,2.4,88.57142857142857,0.45,0.1472502560265652,0.10031800249463621,0.06339963,0.030223073,1,1
D,10.0,2.4,104.28571428571429,0.02,0.5557771480670318,0.476998553063236,0.56082326,0.30956036,0,0
Dstar,10.0,2.4,104.28571428571429,0.02,27517.21848942726,104.28496537383054,34.91306,6.7823286,1,1
f,10.0,2.4,104.28571428571429,0.02,0.1455709237779636,0.09840548245604203,0.12753493,0.029445516,1,0
D,10.0,2.4,104.28571428571429,0.08142857142857143,0.5929442046251691,0.5089177183637923,0.5309091,0.25719866,1,0
Dstar,10.0,2.4,104.28571428571429,0.08142857142857143,6758.615067578623,104.2733020075687,38.528927,7.097404,1,1
f,10.0,2.4,104.28571428571429,0.08142857142857143,0.14557092377796357,0.09841855925684452,0.124876134,0.030278888,1,0
D,10.0,2.4,104.28571428571429,0.14285714285714285,0.635438539289973,0.5454383430601458,0.4773332,0.22607523,1,1
Dstar,10.0,2.4,104.28571428571429,0.14285714285714285,3852.410588519815,104.24752507159175,37.36481,6.9676995,1,1
f,10.0,2.4,104.28571428571429,0.14285714285714285,0.14557092377796352,0.09844744864385296,0.11138671,0.039586227,1,0
D,10.0,2.4,104.28571428571429,0.20428571428571426,0.6844939381938667,0.5876260234717596,0.4303149,0.19341588,1,1
Dstar,10.0,2.4,104.28571428571429,0.20428571428571426,2693.9934185453253,104.2076659500826,36.226048,7.729722,1,1
f,10.0,2.4,104.28571428571429,0.20428571428571426,0.14557092377796355,0.09849208984290403,0.1057214,0.04744365,1,0
D,10.0,2.4,104.28571428571429,0.26571428571428574,0.7417570497548323,0.6369028828477998,0.3849632,0.19026396,1,1
Dstar,10.0,2.4,104.28571428571429,0.26571428571428574,2071.1884884515134,104.15377309129782,36.81737,7.803662,1,1
f,10.0,2.4,104.28571428571429,0.26571428571428574,0.14557092377796352,0.09855238919263222,0.09971152,0.040656596,1,0
D,10.0,2.4,104.28571428571429,0.3271428571428572,0.8094758462292653,0.6952103179469704,0.3898452,0.13659386,1,1
Dstar,10.0,2.4,104.28571428571429,0.3271428571428572,1682.2753661658585,104.08591184432058,37.978523,8.653033,1,1
f,10.0,2.4,104.28571428571429,0.3271428571428572,0.14557092377796357,0.09862822065968062,0.09393067,0.042638544,1,0
D,10.0,2.4,104.28571428571429,0.38857142857142857,0.8908016905934201,0.7652698501426269,0.37394056,0.11652917,1,1
Dstar,10.0,2.4,104.28571428571429,0.38857142857142857,1416.3274222499322,104.0041642396582,41.038197,10.176549,1,1
f,10.0,2.4,104.28571428571429,0.38857142857142857,0.14557092377796357,0.09871942652786088,0.07548532,0.041657966,1,1
D,10.0,2.4,104.28571428571429,0.45,0.9902938274648933,0.8510187809446986,0.37495306,0.24948196,1,1
Dstar,10.0,2.4,104.28571428571429,0.45,1222.9874884189892,103.90862871512326,39.16886,10.283394,1,1
f,10.0,2.4,104.28571428571429,0.45,0.14557092377796357,0.09882581825388767,0.061942033,0.041348606,1,1
D,10.0,2.4,120.0,0.02,0.5546212354617455,0.4766115056892657,0.5644934,0.2636892,0,0
Dstar,10.0,2.4,120.0,0.02,60174.773721907186,119.99976139281591,37.79499,6.602686,1,1
f,10.0,2.4,120.0,0.02,0.14481631789656052,0.09819679731230069,0.13332127,0.03205796,0,0
D,10.0,2.4,120.0,0.08142857142857143,0.5917109914879585,0.5084900138209,0.52402526,0.24794032,1,0
Dstar,10.0,2.4,120.0,0.08142857142857143,14779.768984328075,119.99604490445506,36.49792,5.394197,1,1
f,10.0,2.4,120.0,0.08142857142857143,0.14481631789656046,0.09820037035297771,0.12184469,0.024679394,1,0
D,10.0,2.4,120.0,0.14285714285714285,0.6341169458779288,0.5449450112341147,0.46348545,0.2284463,1,1
Dstar,10.0,2.4,120.0,0.14285714285714285,8424.468321067008,119.98782797999402,37.19722,7.8304663,1,1
f,10.0,2.4,120.0,0.14285714285714285,0.14481631789656052,0.09820826926934229,0.11498429,0.04209112,1,0
D,10.0,2.4,120.0,0.20428571428571426,0.6830703187194924,0.5870363960158395,0.41959912,0.1992814,1,1
Dstar,10.0,2.4,120.0,0.20428571428571426,5891.236588158744,119.97511339260367,36.12683,8.822449,1,1
f,10.0,2.4,120.0,0.20428571428571426,0.1448163178965605,0.09822048946407073,0.09994061,0.043752216,1,0
D,10.0,2.4,120.0,0.26571428571428574,0.7402143337096445,0.6361787361941557,0.3874738,0.1710284,1,1
Dstar,10.0,2.4,120.0,0.26571428571428574,4529.284043584411,119.95790543139792,36.893185,8.983368,1,1
f,10.0,2.4,120.0,0.26571428571428574,0.14481631789656046,0.09823702382999701,0.09853588,0.0454163,1,0
D,10.0,2.4,120.0,0.3271428571428572,0.8077922877425845,0.6943031679224535,0.38256317,0.20230876,1,1
Dstar,10.0,2.4,120.0,0.3271428571428572,3678.8071271034946,119.93620989741687,38.74513,9.034257,1,1
f,10.0,2.4,120.0,0.3271428571428572,0.14481631789656046,0.09825786276096832,0.08905239,0.043839253,1,0
D,10.0,2.4,120.0,0.38857142857142857,0.8889489895484984,0.7641168865002838,0.37534705,0.24893774,1,1
