condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N192,0.11,192,29,0,20266609,468.0,1,69.5,0.14433417347315802,0.8514098704517991
b0.110_N192,0.11,192,29,1,20266610,808.5,1,35.5,0.1624325169713508,0.8514179962780145
b0.110_N192,0.11,192,29,2,20266611,1668.0,1,366.0,0.1407508135670421,0.4847347213131463
b0.110_N192,0.11,192,29,3,20266612,412.0,1,73.0,0.14091321486200686,0.851407399052993
b0.110_N192,0.11,192,29,4,20266613,192.0,1,66.5,0.0940084806551763,0.8514088752282115
b0.110_N192,0.11,192,29,5,20266614,394.0,1,51.0,0.15050198636759918,0.851412431226357
b0.110_N192,0.11,192,29,6,20266615,443.5,1,26.5,0.16357827469995917,0.851666605348611
b0.110_N192,0.11,192,29,7,20266616,406.5,1,60.0,0.14675957962192132,0.8514125729090253
b0.110_N192,0.11,192,29,8,20266617,434.0,1,99.0,0.1391476355880368,0.8514101020179802
b0.110_N192,0.11,192,29,9,20266618,1149.0,1,12.0,0.15916620318305086,0.8515532855117353
b0.110_N192,0.11,192,29,10,20266619,718.5,1,80.5,0.15301907587108426,0.8514103159095749
b0.110_N192,0.11,192,29,11,20266620,210.5,1,73.0,0.09943762411758977,0.8515725184866513
b0.110_N192,0.11,192,29,12,20266621,214.5,1,54.0,0.1032144417331587,0.8514127656475993
b0.110_N192,0.11,192,29,13,20266622,2871.5,1,82.0,0.16167919702131203,0.8514123172952109
b0.110_N192,0.11,192,29,14,20266623,576.0,1,60.0,0.15561974781485674,0.8514095085468796
b0.110_N192,0.11,192,29,15,20266624,1230.0,1,60.0,0.16115822405832594,0.8514122900434585
b0.110_N192,0.11,192,29,16,20266625,429.0,1,71.0,0.1503171769950375,0.8514104407894133
b0.110_N192,0.11,192,29,17,20266626,648.0,1,64.0,0.15095048568532057,0.8514089115757191
b0.110_N192,0.11,192,29,18,20266627,301.5,1,40.5,0.13562537216764947,0.8514325042202935
b0.110_N192,0.11,192,29,19,20266628,888.0,1,39.0,0.15995856667905034,0.8514961317873425
b0.110_N192,0.11,192,29,20,20266629,388.0,1,33.0,0.14802924256807445,0.8514650576952173
b0.110_N192,0.11,192,29,21,20266630,316.0,1,52.0,0.15040336876741137,0.8514202082206093
b0.110_N192,0.11,192,29,22,20266631,877.0,1,67.0,0.14718967433867744,0.8514116052424212
b0.110_N192,0.11,192,29,23,20266632,138.0,1,39.5,0.07500946042461844,0.8514960827536786
b0.110_N192,0.11,192,29,24,20266633,1602.0,1,519.0,0.1290379837735268,0.4847349929140195
b0.110_N192,0.11,192,29,25,20266634,1007.0,1,81.0,0.15593346591080912,0.851494206972204
b0.110_N192,0.11,192,29,26,20266635,563.5,1,77.5,0.15282308776487116,0.8514094883309955
b0.110_N192,0.11,192,29,27,20266636,464.5,1,35.5,0.13526210989655535,0.8514798073932818
b0.110_N192,0.11,192,29,28,20266637,656.5,1,56.0,0.15506514220636142,0.8514164505264024
b0.110_N192,0.11,192,29,29,20266638,1141.0,1,28.0,0.1593173290059353,0.8514512120068743
b0.110_N192,0.11,192,29,30,20266639,815.0,1,63.0,0.15469796646368214,0.8514098514191284
b0.110_N192,0.11,192,29,31,20266640,1130.5,1,55.0,0.15469853950311768,0.8514126629155401
b0.110_N192,0.11,192,29,32,20266641,239.5,1,74.5,0.11391030419531104,0.8514101473079756
b0.110_N192,0.11,192,29,33,20266642,1276.5,1,30.0,0.15906445732442,0.8516292798997825
b0.110_N192,0.11,192,29,34,20266643,495.0,1,79.0,0.14460397019723073,0.8514212995846595
b0.110_N192,0.11,192,29,35,20266644,731.5,1,36.0,0.16776560868147522,0.8517818978917918
b0.110_N192,0.11,192,29,36,20266645,373.5,1,70.0,0.14003033661548667,0.8514080465070037
b0.110_N192,0.11,192,29,37,20266646,555.0,1,70.0,0.16074826832803826,0.8514119684232441
b0.110_N192,0.11,192,29,38,20266647,342.5,1,35.5,0.15620185316643806,0.8514958087794833
b0.110_N192,0.11,192,29,39,20266648,283.0,1,59.5,0.11839379080729022,0.8514126993108376
b0.110_N192,0.11,192,29,40,20266649,659.5,1,17.0,0.166599926694215,0.851637201413885
b0.110_N192,0.11,192,29,41,20266650,259.0,1,75.5,0.1072244021508662,0.8514093042235262
b0.110_N192,0.11,192,29,42,20266651,992.0,1,30.5,0.15581507364933692,0.8515102525383657
b0.110_N192,0.11,192,29,43,20266652,125.0,1,27.5,0.09735365884491477,0.8514393279614301
b0.110_N192,0.11,192,29,44,20266653,582.5,1,80.0,0.15104551069972152,0.8514229141339036
b0.110_N192,0.11,192,29,45,20266654,2962.5,1,68.0,0.15780552169633613,0.8514059997497706
b0.110_N192,0.11,192,29,46,20266655,1225.0,1,59.5,0.15732762821225843,0.8514160012832895
b0.110_N192,0.11,192,29,47,20266656,1603.5,1,62.0,0.16858159840381212,0.8514136318315174
b0.110_N192,0.11,192,29,48,20266657,680.5,1,68.5,0.17181660716115044,0.8514105550600642
b0.110_N192,0.11,192,29,49,20266658,2860.5,1,22.0,0.16132515868501812,0.851599519274081
b0.110_N192,0.11,192,29,50,20266659,243.0,1,14.5,0.14035963118525174,0.8514831123909145
b0.110_N192,0.11,192,29,51,20266660,254.5,1,82.0,0.12184904485066975,0.8514185042952717
b0.110_N192,0.11,192,29,52,20266661,1167.5,1,39.0,0.1570034662735097,0.8515779713323594
b0.110_N192,0.11,192,29,53,20266662,200.0,1,23.5,0.12679235884788517,0.8514225242160917
b0.110_N192,0.11,192,29,54,20266663,722.5,1,74.0,0.14157765913390644,0.8514089326829563
b0.110_N192,0.11,192,29,55,20266664,524.0,1,69.0,0.1489925289035421,0.8514075112931664
b0.110_N192,0.11,192,29,56,20266665,1790.0,1,26.0,0.14757854465174977,0.8516181813355655
b0.110_N192,0.11,192,29,57,20266666,1095.5,1,92.5,0.1453798168985407,0.8514091740064371
b0.110_N192,0.11,192,29,58,20266667,350.0,1,79.5,0.13139541446104816,0.851407605150603
b0.110_N192,0.11,192,29,59,20266668,624.5,1,54.0,0.13559877553491392,0.8517322375408253
b0.110_N192,0.11,192,29,60,20266669,888.5,1,39.5,0.1543751596493284,0.8517463760462816
b0.110_N192,0.11,192,29,61,20266670,271.5,1,42.0,0.15050106502629265,0.8514672817896822
b0.110_N192,0.11,192,29,62,20266671,696.5,1,63.0,0.1472471095292588,0.8514124975983974
b0.110_N192,0.11,192,29,63,20266672,1400.0,1,37.5,0.16373317513001956,0.8514289571641457
b0.110_N192,0.11,192,29,64,20266673,413.5,1,86.5,0.14253150353362906,0.8514120329805238
b0.110_N192,0.11,192,29,65,20266674,2421.5,1,519.0,0.14372448990111106,0.48473491195327284
b0.110_N192,0.11,192,29,66,20266675,281.0,1,50.5,0.1334712469823408,0.8514155782173679
b0.110_N192,0.11,192,29,67,20266676,176.5,1,48.0,0.11320876405999374,0.851475593630954
