budget,parameter,snr,n_points,median_claimed_ratio,median_achieved_ratio,median_nlls_ratio,frac_claimed_below_floor,frac_achieved_below_floor
50000,D,10.0,512,0.9454844961393589,0.5160821289706514,0.7728505385784155,0.45703125,0.90625
50000,D,20.0,512,1.4745705891930014,0.7888782390512937,0.9641047075912832,0.177734375,0.619140625
50000,D,50.0,512,3.0425147691177985,1.1105563612799467,0.987295092428387,0.01171875,0.3828125
50000,D,100.0,512,5.550971836329369,1.1186910520947562,0.9764892585891807,0.0,0.341796875
100000,D,10.0,512,0.9362778318281577,0.5295309141814746,0.7728505385784155,0.453125,0.873046875
100000,D,20.0,512,1.4693822047394405,0.8025899207990129,0.9641047075912832,0.17578125,0.611328125
100000,D,50.0,512,2.3154159938146788,1.1662572490361107,0.987295092428387,0.009765625,0.341796875
100000,D,100.0,512,3.7699432243140856,1.1313962043531152,0.9764892585891807,0.0,0.341796875
250000,D,10.0,512,0.9538246626437731,0.5316070048970369,0.7728505385784155,0.443359375,0.888671875
250000,D,20.0,512,1.3606050129076555,0.7837363257675334,0.9641047075912832,0.208984375,0.599609375
250000,D,50.0,512,1.9491426567287924,1.1244334596277301,0.987295092428387,0.03515625,0.32421875
250000,D,100.0,512,3.045716368804246,1.1848445671171235,0.9764892585891807,0.001953125,0.24609375
500000,D,10.0,512,0.9397382053856367,0.5303044348113302,0.7728505385784155,0.455078125,0.8828125
500000,D,20.0,512,1.4330990713967608,0.7660637400769399,0.9641047075912832,0.1953125,0.638671875
500000,D,50.0,512,2.083050479943526,1.1140513539929038,0.987295092428387,0.029296875,0.330078125
500000,D,100.0,512,3.2841755987202137,1.181069981254114,0.9764892585891807,0.001953125,0.28125
1000000,D,10.0,512,0.9715761334643525,0.5322073615043038,0.7728505385784155,0.4375,0.884765625
1000000,D,20.0,512,1.4057373433596632,0.7944400414562407,0.9641047075912832,0.203125,0.630859375
1000000,D,50.0,512,2.0086699498548874,1.1246927534646316,0.987295092428387,0.02734375,0.279296875
1000000,D,100.0,512,2.7998642278267933,1.3127267677917858,0.9764892585891807,0.001953125,0.18359375
50000,Dstar,10.0,512,0.0774264651973385,0.015537018153061466,0.13222173069449772,0.873046875,1.0
50000,Dstar,20.0,512,0.15601042017327804,0.0388390841560989,0.25382908849504293,0.767578125,0.947265625
50000,Dstar,50.0,512,0.36183641254468457,0.09377447454990959,0.5879217180969821,0.625,0.841796875
50000,Dstar,100.0,512,0.7399592165716429,0.11456388649064438,0.8884699697624725,0.513671875,0.814453125
100000,Dstar,10.0,512,0.08043040481013913,0.01876632570631992,0.13222173069449772,0.865234375,1.0
100000,Dstar,20.0,512,0.15971263069700992,0.03769278505170438,0.25382908849504293,0.771484375,0.94921875
100000,Dstar,50.0,512,0.3614330646681745,0.10344937596998066,0.5879217180969821,0.626953125,0.83984375
100000,Dstar,100.0,512,0.7043625646789059,0.14846924389070365,0.8884699697624725,0.51953125,0.78515625
250000,Dstar,10.0,512,0.07925062380252412,0.01834339268058529,0.13222173069449772,0.869140625,1.0
250000,Dstar,20.0,512,0.15867524656730672,0.04219429591460049,0.25382908849504293,0.771484375,0.935546875
250000,Dstar,50.0,512,0.38017250970180827,0.12257479858971025,0.5879217180969821,0.62890625,0.810546875
250000,Dstar,100.0,512,0.7156484423576506,0.1798368071342767,0.8884699697624725,0.525390625,0.716796875
500000,Dstar,10.0,512,0.08356963934836661,0.017946858752583783,0.13222173069449772,0.861328125,1.0
500000,Dstar,20.0,512,0.15955741815611263,0.04385432790577001,0.25382908849504293,0.763671875,0.939453125
500000,Dstar,50.0,512,0.37627420289294267,0.12453984606731355,0.5879217180969821,0.6328125,0.822265625
500000,Dstar,100.0,512,0.6710795300184933,0.1865269872444742,0.8884699697624725,0.521484375,0.740234375
1000000,Dstar,10.0,512,0.0810641738340574,0.016039544280666333,0.13222173069449772,0.861328125,1.0
1000000,Dstar,20.0,512,0.1598758290105572,0.04109700358602768,0.25382908849504293,0.767578125,0.9453125
1000000,Dstar,50.0,512,0.3681209985833413,0.13161810239696903,0.5879217180969821,0.630859375,0.806640625
1000000,Dstar,100.0,512,0.6922486777467718,0.23375280166308754,0.8884699697624725,0.51953125,0.705078125
50000,f,10.0,512,0.7973381777144009,0.2636514582965065,0.8348603563116597,0.609375,1.0
50000,f,20.0,512,1.478600590014084,0.40527926495323646,1.0063209876618644,0.201171875,0.89453125
50000,f,50.0,512,3.1342452509041907,0.7283508502591297,0.980535106537206,0.048828125,0.66796875
50000,f,100.0,512,5.8561836392773055,0.8306606150407823,0.9472290040238258,0.001953125,0.556640625
100000,f,10.0,512,0.8197042905970591,0.25736574608829305,0.8348603563116597,0.591796875,1.0
100000,f,20.0,512,1.4688059007711107,0.4464954392283116,1.0063209876618644,0.205078125,0.873046875
100000,f,50.0,512,2.595849638054684,0.7922326706206066,0.980535106537206,0.076171875,0.5703125
100000,f,100.0,512,4.3068778206417875,1.0098362112406252,0.9472290040238258,0.001953125,0.431640625
250000,f,10.0,512,0.8447317908452826,0.27378335552162925,0.8348603563116597,0.576171875,1.0
250000,f,20.0,512,1.3952959592759768,0.4337421735535052,1.0063209876618644,0.2265625,0.87109375
250000,f,50.0,512,2.2135242175952934,0.8610415118720391,0.980535106537206,0.109375,0.529296875
250000,f,100.0,512,3.221790222639827,1.0864209217796088,0.9472290040238258,0.0078125,0.353515625
500000,f,10.0,512,0.8413752731204571,0.2562344131137738,0.8348603563116597,0.583984375,1.0
500000,f,20.0,512,1.4318973160742927,0.41741145905074045,1.0063209876618644,0.201171875,0.880859375
500000,f,50.0,512,2.2948066052679756,0.8555291004150019,0.980535106537206,0.09375,0.5390625
500000,f,100.0,512,3.401140190983389,1.1079253904921342,0.9472290040238258,0.0078125,0.37109375
1000000,f,10.0,512,0.8711079556586503,0.2503485000242797,0.8348603563116597,0.544921875,1.0
1000000,f,20.0,512,1.4382172132888909,0.41482243836285226,1.0063209876618644,0.21484375,0.884765625
1000000,f,50.0,512,2.2909777354841747,0.8963523087424055,0.980535106537206,0.0703125,0.50390625
