N,runs,testable,ratchet_frac,strict_frac,mean_increment,ci_lo,ci_hi,median_cycles
8,100,83,0.6506024096385542,0.18072289156626506,0.03135400895400896,0.0263100680026904,0.036457803542375884,4.0
16,100,73,0.8356164383561644,0.5342465753424658,0.05181460674157303,0.045928877416769,0.05774741018289669,3.0
32,100,63,1.0,0.8888888888888888,0.07831830526887561,0.07319965333997483,0.08358086778592398,2.0
64,100,80,1.0,1.0,0.09125853018372704,0.08844971097996976,0.09409069280874403,2.0
