N,n,r2_t0_lin,r2_t0_quad,n_traced,r2_t0_traced,r2_t0_firstcycle,delta_r2
4,200,0.017416686673791593,-0.052548174191600294,0,,,
8,200,0.1951116758963123,0.18372868264034303,96,0.14533087628378416,0.2547581493776714,0.10942727309388722
16,200,0.1493126160693976,0.23658181987535576,96,0.10260537349942822,0.48676809935154874,0.3841627258521205
24,200,0.2119999844787286,0.2225179028835378,0,,,
32,200,0.2963343737605115,0.34049494187738916,87,0.2291971713998987,0.3558411907795801,0.1266440193796814
48,200,0.29867541622864735,0.4378471335501499,0,,,
64,200,0.19975952089094506,0.24191306929090073,97,0.105235180214451,-0.00844393802244392,-0.11367911823689492
