N,runs,median_cycles,mean_increment,ci_lo,ci_hi,median_run_slope,ratchet_frac
8,40,227.0,-0.0006690388738920401,-0.000787788250208824,-0.0005374904793844317,-0.00015100791295736844,0.0
16,40,202.5,-0.000777758075386427,-0.000851593715173016,-0.0007059491348758531,-0.00021860575138633095,0.0
32,40,181.0,-0.0009735474036180002,-0.0011211721583068634,-0.0008401183062582992,-0.00026707608649314776,0.0
64,40,79.0,-0.001905446192500855,-0.0025444478923759605,-0.0014743990142121756,-0.0010391116147762964,0.0
