N,n,rho_Rincoh0,rho_Rsync0,rho_absdphi0,d0_null_absrho
4,200,-0.10933952050463067,-0.1852641179218959,0.0324796472503672,0.0814860123255257
8,200,-0.13516593670905666,-0.09929014182622548,-0.4454259730352544,0.0413052959544999
16,200,-0.01045679671166625,-0.0026655756357238454,-0.42766213491551397,0.0391113304506384
24,200,-0.05136301520946874,-0.06311061176368604,-0.5069669555303213,0.0722287661790066
32,200,0.06099852658260571,0.10604333851313644,-0.5819411990423733,0.0493507983823021
48,200,-0.08553617708951208,0.05592158677534325,-0.594473618192302,0.0723590901016334
64,200,-0.058398332248861026,-0.010935343096611875,-0.5378576252939234,0.0240871773585233
